Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"James, E.L.",,"=""1612130291""","=""9781612130293""",1,3.66,Vintage,ebook,356,2011,2011,,2013/03/28,don-t-want-to-read,don-t-want-to-read (#1),read,haven't really read it. just can't get myself to go past the first page.,,,1,,,0,,,,,
17700347,Pillars of the Earth,Ken Follett,"Follett, Ken",,"=""""","=""""",4,4.30,,,,,1989,,2013/03/31,,,read,,,,1,,,0,,,,,
7933292,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,"Burpo, Todd",Lynn Vincent,"=""0849946158""","=""9780849946158""",5,4.01,Thomas Nelson,Paperback,162,2010,2010,2013/04/01,2013/03/28,,,read,wow,,,1,,,0,,,,,
43758,"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,"Rice, Anne",,"=""0345419626""","=""9780345419620""",3,3.87,Ballantine Books,Paperback,448,1997,1988,,2013/03/31,,,read,,,,1,,,0,,,,,
43814,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,"Rice, Anne",,"=""0345476883""","=""9780345476883""",3,4.06,Ballantine Books,Paperback,481,2004,1985,,2013/03/31,,,read,,,,1,,,0,,,,,
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Rice, Anne",,"=""0345476875""","=""9780345476876""",3,3.98,Ballantine Books,Mass Market Paperback,342,2004,1976,,2013/03/31,,,read,,,,1,,,0,,,,,
6690798,"The Passage (The Passage, #1)",Justin Cronin,"Cronin, Justin",,"=""0345504968""","=""9780345504968""",4,4.04,Ballantine Books,Hardcover,766,2010,2010,,2013/03/31,,,read,,,,1,,,0,,,,,
13281368,"The Twelve (The Passage, #2)",Justin Cronin,"Cronin, Justin",,"=""0345504984""","=""9780345504982""",0,3.99,The Random House Publishing Group,Hardcover,568,2012,2012,,2013/03/31,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0345339738""","=""9780345339737""",5,4.51,Del Rey,Mass Market Paperback,490,2003,1955,,2013/03/31,,,read,,,,1,,,0,,,,,
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",Peter Beagle,"=""0618346260""","=""9780618346264""",5,4.43,Houghton Mifflin,Paperback,322,2003,1954,,2013/03/31,,,read,,,,1,,,0,,,,,
690866,The Hundred Secret Senses,Amy Tan,"Tan, Amy",,"=""080411109X""","=""9780804111096""",4,3.98,Ivy Books,Mass Market Paperback,406,1996,1995,,2013/03/31,,,read,,,,1,,,0,,,,,
550454,"Aztec (Aztec, #1)",Gary Jennings,"Jennings, Gary",,"=""0765317508""","=""9780765317506""",4,4.20,Forge Books,Paperback,754,2006,1980,,2013/03/30,,,read,,,,1,,,0,,,,,
402093,"Shōgun (Asian Saga, #1)",James Clavell,"Clavell, James",,"=""0440178002""","=""9780440178002""",5,4.38,BantamDell,Paperback,1152,2009,1975,,2013/03/30,,,read,,,,1,,,0,,,,,
42933,"Tai-Pan (Asian Saga, #2)",James Clavell,"Clavell, James",,"=""0440184622""","=""9780440184621""",4,4.26,Dell,Paperback,734,2009,1966,,2013/03/30,,,read,,,,1,,,0,,,,,
6900,Tuesdays with Morrie,Mitch Albom,"Albom, Mitch",Saulius Dagys,"=""0751529818""","=""9780751529814""",4,4.08,Warner,Paperback,210,2000,1997,,2013/03/30,,,read,,,,1,,,0,,,,,
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",4,3.94,William Morrow,Hardcover,320,2006,2005,,2013/03/28,,,read,,,,1,,,0,,,,,
12959233,Winter of the World (The Century Trilogy #2),Ken Follett,"Follett, Ken",,"=""0525952926""","=""9780525952923""",0,4.31,Berkley,Hardcover,940,2012,2012,,2013/03/28,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
6065215,"The Strain (The Strain Trilogy, #1)",Guillermo del Toro,"Toro, Guillermo del",Chuck Hogan,"=""0061558230""","=""9780061558238""",3,3.78,William Morrow,Hardcover,403,2009,2009,,2013/03/28,,,read,,,,1,,,0,,,,,
13497818,The Casual Vacancy,J.K. Rowling,"Rowling, J.K.",,"=""0316228532""","=""9780316228534""",0,3.29,"Little, Brown and Company",Hardcover,503,2012,2012,,2013/03/28,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
1430,Eleven Minutes,Paulo Coelho,"Coelho, Paulo",Margaret Jull Costa,"=""0060589280""","=""9780060589288""",0,3.69,HarperOne,Paperback,273,2003,2003,,2013/03/28,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
2920877,The Trail of Blood,J.M. Carroll,"Carroll, J.M.",,"=""""","=""""",0,3.59,Bearing Precious Seed,Paperback,56,2000,1931,,2013/03/28,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
51364,Misquoting Jesus: The Story Behind Who Changed the Bible and Why,Bart D. Ehrman,"Ehrman, Bart D.",,"=""0060859512""","=""9780060859510""",0,3.91,HarperOne,Paperback,266,2007,2005,,2013/03/28,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618640150""","=""9780618640157""",4,4.48,Houghton Mifflin Harcourt,Paperback,1216,2005,1955,,2013/03/28,,,read,,,,1,,,0,,,,,
35519,The Power of Myth,Joseph Campbell,"Campbell, Joseph",Bill Moyers,"=""0385418868""","=""9780385418867""",3,4.30,Anchor Doubleday,Paperback,320,1988,1988,,2013/03/28,,,read,,,,1,,,0,,,,,
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",0,3.89,Seal Books,Paperback,460,2006,2001,,2013/03/28,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
